Symbol,Name,MarCap
069500,KODEX 200,216956
360750,TIGER 미국S&P500,157976
396500,TIGER 반도체TOP10,96757
133690,TIGER 미국나스닥100,85449
379800,KODEX 미국S&P500,83486
102110,TIGER 200,81713
459580,KODEX CD금리액티브(합성),81176
488770,KODEX 머니마켓액티브,79829
229200,KODEX 코스닥150,67059
278530,KODEX 200TR,64822
379810,KODEX 미국나스닥100,63819
122630,KODEX 레버리지,63271
411060,ACE KRX금현물,49503
357870,TIGER CD금리투자KIS(합성),46579
310970,TIGER MSCI Korea TR,46250
091160,KODEX 반도체,44560
423160,KODEX KOFR금리액티브(합성),44252
498400,KODEX 200타겟위클리커버드콜,43942
233740,KODEX 코스닥150레버리지,43859
381180,TIGER 미국필라델피아반도체나스닥,40717
273130,KODEX 종합채권(AA-이상)액티브,39942
381170,TIGER 미국테크TOP10 INDXX,39752
148020,RISE 200,35766
360200,ACE 미국S&P500,34861
458730,TIGER 미국배당다우존스,32115
0043B0,TIGER 머니마켓액티브,30613
367380,ACE 미국나스닥100,28861
481050,KODEX CD1년금리플러스액티브(합성),28753
102780,KODEX 삼성그룹,28374
161510,PLUS 고배당주,27552
455890,RISE 머니마켓액티브,25260
292150,TIGER 코리아TOP10,24518
449170,TIGER KOFR금리액티브(합성),24440
487240,KODEX AI전력핵심설비,23971
395160,KODEX AI반도체,23136
278540,KODEX MSCI Korea TR,21984
232080,TIGER 코스닥150,21972
214980,KODEX 단기채권PLUS,20763
305720,KODEX 2차전지산업,20180
385540,RISE 종합채권(A-이상)액티브,19962
466920,SOL 조선TOP3플러스,19181
453850,ACE 미국30년국채액티브(H),18020
449450,PLUS K방산,17931
395270,HANARO Fn K-반도체,17827
294400,KIWOOM 200TR,17783
487230,KODEX 미국AI전력핵심인프라,16601
488080,TIGER 반도체TOP10레버리지,16434
284430,KODEX 200미국채혼합,16041
329200,TIGER 리츠부동산인프라,15876
475630,TIGER CD1년금리액티브(합성),15827
315930,KODEX Top5PlusTR,15525
441640,KODEX 미국배당커버드콜액티브,15229
0072R0,TIGER KRX금현물,15160
477080,RISE CD금리액티브(합성),14772
494310,KODEX 반도체레버리지,14768
152100,PLUS 200,14719
105190,ACE 200,14656
0117L0,KODEX 26-12 금융채(AA-이상)액티브,14524
456600,TIME 글로벌AI인공지능액티브,14517
379780,RISE 미국S&P500,13821
144600,KODEX 은선물(H),13713
157450,TIGER 단기통안채,13367
486290,TIGER 미국나스닥100타겟데일리커버드콜,13303
371460,TIGER 차이나전기차SOLACTIVE,13219
368590,RISE 미국나스닥100,13045
426030,TIME 미국나스닥100액티브,12641
305540,TIGER 2차전지테마,12268
457480,ACE 테슬라밸류체인액티브,11966
436140,SOL 종합채권(AA-이상)액티브,11942
448330,KODEX 삼성전자채권혼합,11890
446770,ACE 글로벌반도체TOP4 Plus,11882
455850,SOL AI반도체소부장,11444
0139F0,TIGER 12월자동연장금융채(AA-이상)액티브,11397
102970,KODEX 증권,11288
469830,SOL 초단기채권액티브,11083
465580,ACE 미국빅테크TOP7 Plus,10902
356540,ACE 종합채권(AA-이상)액티브,10786
139260,TIGER 200 IT,10765
476550,TIGER 미국30년국채커버드콜액티브(H),10598
451540,TIGER 종합채권(AA-이상)액티브,10530
445290,KODEX 로봇액티브,10460
252670,KODEX 200선물인버스2X,10383
472150,TIGER 배당커버드콜액티브,10298
466940,TIGER 은행고배당플러스TOP10,10215
494890,KODEX 200액티브,10125
091230,TIGER 반도체,9937
434730,HANARO 원자력iSelect,9936
495050,RISE 코리아밸류업,9899
0163Y0,KoAct 코스닥액티브,9891
463250,TIGER K방산&우주,9660
438080,ACE 미국S&P500미국채혼합50액티브,9628
497570,TIGER 미국필라델피아AI반도체나스닥,9566
226490,KODEX 코스피,9546
0162Z0,RISE 삼성전자SK하이닉스채권혼합50,9440
446720,SOL 미국배당다우존스,9171
390390,KODEX 미국반도체,9125
